cve_id,year,cvss_score,severity,cwes,bucket,auto_reason,description,references,reviewer_note
CVE-2018-1000542,2018,7.8,HIGH,CWE-611,OUT_OF_SCOPE_LOGIC,description matches logic/auth keywords,"netbeans-mmd-plugin version <= 1.4.3 contains a XML External Entity (XXE) vulnerability in MMD file import that can result in Possible information disclosure, server-side request forgery, or remote code execution. This attack appear to be exploitable via Specially crafted MMD file.",0dd.zone|github.com,
CVE-2018-1000546,2018,7.8,HIGH,CWE-611,OUT_OF_SCOPE_LOGIC,description matches logic/auth keywords,"Triplea version <= 1.9.0.0.10291 contains a XML External Entity (XXE) vulnerability in Importing game data that can result in Possible information disclosure, server-side request forgery, or remote code execution. This attack appear to be exploitable via Specially crafted game data file (XML).",0dd.zone|github.com,
CVE-2018-1000666,2018,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],GIG Technology NV JumpScale Portal 7 version before commit 15443122ed2b1cbfd7bdefc048bf106f075becdb contains a CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') vulnerability in method: notifySpaceModification; that can result in Improper validation of parameters results in command execution. This attack appear to be exploitable via Network connecti,github.com|medium.com|telegra.ph,
CVE-2018-11248,2018,9.8,CRITICAL,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"util/FileDownloadUtils.java in FileDownloader 1.7.3 does not check an attachment's name. If an attacker places ""../"" in the file name, the file can be stored in an unintended directory because of Directory Traversal.",github.com,
CVE-2018-14721,2018,10.0,CRITICAL,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to conduct server-side request forgery (SSRF) attacks by leveraging failure to block the axis2-jaxws class from polymorphic deserialization.,access.redhat.com|github.com|lists.apache.org|lists.debian.org|seclists.org|security.netapp.com|www.debian.org|www.oracle.com,
CVE-2018-16408,2018,7.2,HIGH,CWE-78,OUT_OF_SCOPE_BELOW_LANG,description matches below-language artefact,D-Link DIR-846 devices with firmware 100.26 allow remote attackers to execute arbitrary code as root via a SetNetworkTomographySettings request by leveraging admin access.,github.com|www.us-cert.gov,
CVE-2018-17125,2018,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],CScms 4.1 allows arbitrary directory deletion via a dir=..\\ substring to plugins\sys\admin\Plugins.php.,github.com|www.patec.cn,
CVE-2018-17131,2018,7.2,HIGH,CWE-94,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],admin/web_config.php in PHPMyWind 5.5 allows Admin users to execute arbitrary code via the varvalue field.,github.com,
CVE-2018-17169,2018,7.7,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],An XML external entity (XXE) vulnerability in PrinterOn version 4.1.4 and lower allows remote authenticated users to read arbitrary files or conduct server-side request forgery (SSRF) attacks via a crafted DTD in an XML request.,github.com,
CVE-2018-20000,2018,7.5,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],"Apereo Bedework bw-webdav before 4.0.3 allows XXE attacks, as demonstrated by an invite-reply document that reads a local file, related to webdav/servlet/common/MethodBase.java and webdav/servlet/common/PostRequestPars.java.",github.com,
CVE-2018-20318,2018,9.8,CRITICAL,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],An issue was discovered in weixin-java-tools v3.2.0. There is an XXE vulnerability in the getXmlDoc method of the BaseWxPayResult.java file.,github.com,
CVE-2018-3757,2018,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],Command injection exists in pdf-image v2.0.0 due to an unescaped string parameter.,github.com|hackerone.com,
CVE-2018-3786,2018,9.8,CRITICAL,"CWE-77,CWE-78",STRUCTURAL_REJECT,"CWE match in structural set: ['CWE-77', 'CWE-78']",A command injection vulnerability in egg-scripts <v2.8.1 allows arbitrary shell command execution through a maliciously crafted command line argument.,github.com|hackerone.com,
